question,answer
"based on this information, what is this fly's phenotype for the eye color trait?",red eyes
"is the following trait inherited or acquired?
jayla has naturally straight hair.",inherited
what information supports the conclusion that brad inherited this trait?,Brad's biological mother often wears her naturally brown hair in a bun.
"would you find the word address on a dictionary page with the following guide words?
ache - age",yes
what information supports the conclusion that britney acquired this trait?,Britney learned to identify insects by reading many books about insects.
"does this passage describe the weather or the climate?
it is snowing in gavin's town today.",weather
"complete the statement.
helium is ().",an elementary substance
"based on this information, what is this scarlet rosemallow plant's phenotype for the flower color trait?",red flowers
how long does it take to tie your shoes?,29 seconds
"what does the personification in this text suggest?
daniel tried to ignore his unfinished essay, but it glared at him from across the room.",It bothered Daniel that the essay wasn't finished.
what does the third amendment say about soliders?,The government can't force people to keep soldiers in their homes during peacetime.
"based on this information, what is this pea plant's phenotype for the pod color trait?",yellow pods
what is the mass of a can of soup?,13 ounces
"would you find the word pliers on a dictionary page with the following guide words?
peaceful - power",yes
"is there a sentence fragment?
due to warmer winters, the population of brown tawny owls in finland has increased dramatically. with less snow on the ground, brown owls can better blend in with the environment, evading predators.",no
what is the volume of a washing machine?,36 gallons
"what do these two changes have in common?
melting wax
picking up a paper clip with a magnet",Both are only physical changes.
"based on this information, what is lollipop's phenotype for the fur color trait?",dark fur
how long is a bench?,8 feet
"what is the source of the allusion in the sentence below?
whitney had her fifteen minutes when her video of kayaking with dolphins went viral.",modern history
"complete the sentence.
a banana getting ripe on the counter is a ().",chemical change
is pulling weeds a good or a service?,a service
what is the temperature of a warm swimming pool?,30°C
what is the volume of a car's gas tank?,15 gallons
"based on this information, what is slim's phenotype for the body hair trait?",a hairless body
"what do these two changes have in common?
molding clay into the shape of a pot
shaking up salad dressing",Both are only physical changes.
what information supports the conclusion that winston inherited this trait?,Winston's biological mother often wears her naturally brown hair in a bun.
"what is the source of the allusion in the sentence below?
much to our shock, elijah chose to turn the other cheek when dana insulted him in a meeting.",the Bible
what is the volume of a can of soda pop?,305 milliliters
